,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight,state,time
0,-32.052,151.387,moderate,1.6,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,59,6.0NRT,303.2,38.8,D,New South Wales,2019-12
1,-32.054,151.402,moderate,1.6,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,54,6.0NRT,301.4,39.3,D,New South Wales,2019-12
2,-32.149,151.337,moderate,1.6,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,32,6.0NRT,303.9,32.9,D,New South Wales,2019-12
3,-32.153,151.37,moderate,1.6,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,62,6.0NRT,304.2,39.5,D,New South Wales,2019-12
4,-32.16,151.334,moderate,1.6,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,76,6.0NRT,303.6,55.5,D,New South Wales,2019-12
5,-32.162,151.353,moderate,1.6,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,76,6.0NRT,306.1,54.2,D,New South Wales,2019-12
6,-32.15,151.349,moderate,1.6,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,55,6.0NRT,304.8,41.0,D,New South Wales,2019-12
7,-32.161,151.347,moderate,1.6,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,90,6.0NRT,306.4,89.6,D,New South Wales,2019-12
8,-32.568,150.48,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,52,6.0NRT,310.0,27.6,D,New South Wales,2019-12
9,-32.575,150.542,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,31,6.0NRT,309.9,16.0,D,New South Wales,2019-12
10,-32.577,150.557,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,24,6.0NRT,310.3,16.0,D,New South Wales,2019-12
11,-32.578,150.572,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,70,6.0NRT,310.5,28.0,D,New South Wales,2019-12
12,-32.58,150.587,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,63,6.0NRT,309.6,26.4,D,New South Wales,2019-12
13,-32.582,150.602,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,84,6.0NRT,309.8,51.7,D,New South Wales,2019-12
14,-32.594,150.616,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,84,6.0NRT,310.6,52.8,D,New South Wales,2019-12
15,-32.596,150.632,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,89,6.0NRT,309.5,68.7,D,New South Wales,2019-12
16,-32.564,150.252,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,61,6.0NRT,309.2,37.2,D,New South Wales,2019-12
17,-32.607,150.631,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,55,6.0NRT,308.9,28.6,D,New South Wales,2019-12
18,-32.608,150.646,moderate,1.5,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,79,6.0NRT,308.4,41.1,D,New South Wales,2019-12
19,-32.61,150.662,moderate,1.5,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,30,6.0NRT,307.2,22.1,D,New South Wales,2019-12
20,-32.621,150.756,moderate,1.5,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,45,6.0NRT,308.3,25.2,D,New South Wales,2019-12
21,-32.573,150.235,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,91,6.0NRT,309.7,70.0,D,New South Wales,2019-12
22,-32.594,150.415,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,73,6.0NRT,309.2,36.3,D,New South Wales,2019-12
23,-32.595,150.43,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,89,6.0NRT,309.9,62.3,D,New South Wales,2019-12
24,-32.597,150.446,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,85,6.0NRT,310.2,48.8,D,New South Wales,2019-12
25,-32.604,150.413,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,57,6.0NRT,309.3,26.5,D,New South Wales,2019-12
26,-32.644,150.768,moderate,1.5,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,81,6.0NRT,308.4,46.9,D,New South Wales,2019-12
27,-32.646,150.784,moderate,1.5,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,85,6.0NRT,308.7,59.9,D,New South Wales,2019-12
28,-32.579,150.243,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,31,6.0NRT,309.0,33.1,D,New South Wales,2019-12
29,-32.597,150.408,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,45,6.0NRT,308.8,25.7,D,New South Wales,2019-12
30,-32.599,150.423,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,49,6.0NRT,308.7,23.9,D,New South Wales,2019-12
31,-32.6,150.438,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,19,6.0NRT,308.2,14.4,D,New South Wales,2019-12
32,-32.635,150.763,moderate,1.5,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,20,6.0NRT,307.4,16.2,D,New South Wales,2019-12
33,-32.646,150.761,moderate,1.5,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,54,6.0NRT,308.1,24.9,D,New South Wales,2019-12
34,-32.647,150.777,moderate,1.5,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,89,6.0NRT,309.1,70.2,D,New South Wales,2019-12
35,-32.649,150.793,moderate,1.5,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,58,6.0NRT,307.5,28.3,D,New South Wales,2019-12
36,-32.66,150.792,moderate,1.5,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,85,6.0NRT,307.8,57.0,D,New South Wales,2019-12
37,-32.662,150.808,moderate,1.5,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,67,6.0NRT,306.9,29.0,D,New South Wales,2019-12
38,-32.673,150.807,moderate,1.5,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,86,6.0NRT,306.6,58.9,D,New South Wales,2019-12
39,-32.674,150.822,moderate,1.5,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,71,6.0NRT,307.7,42.9,D,New South Wales,2019-12
40,-32.623,150.251,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,67,6.0NRT,306.5,25.2,D,New South Wales,2019-12
41,-32.685,150.821,moderate,1.5,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,63,6.0NRT,307.4,35.3,D,New South Wales,2019-12
