,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,radiative_power,daynight,state
0,745,10946,10946,-35.612,149.922,very low,1.1,1.0,2019-12-31,10,T,88,6.0NRT,282.0,48.4,D,New South Wales
1,458,15481,15481,-37.435,149.129,very low,1.0,1.0,2020-01-01,1255,T,9,6.0NRT,285.7,4.0,N,Victoria
2,805,30973,30973,-34.324,150.328,low,2.9,1.6,2020-01-04,1325,T,100,6.0NRT,293.4,367.3,N,New South Wales
3,4141,19625,19625,-32.418,123.573,high,1.3,1.1,2020-01-02,555,A,100,6.0NRT,317.6,225.3,D,Western Australia
4,508,21298,21298,-37.467,149.482,very low,1.1,1.0,2020-01-02,1520,A,35,6.0NRT,289.8,15.8,N,Victoria
5,852,11867,11867,-29.042,128.284,high,4.8,2.0,2019-12-31,430,A,100,6.0NRT,312.2,1022.0,D,Western Australia
6,4112,13698,13698,-18.148,142.975,moderate,1.0,1.0,2020-01-01,50,T,65,6.0NRT,308.3,21.1,D,Queensland
7,4321,23966,23966,-35.568,148.171,low,1.2,1.1,2020-01-03,1245,T,62,6.0NRT,292.8,8.1,N,New South Wales
8,1880,13973,13973,-32.681,121.074,high,2.2,1.4,2020-01-01,230,T,71,6.0NRT,311.7,48.5,D,Western Australia
9,3324,14418,14418,-34.886,150.093,low,1.7,1.3,2020-01-01,330,A,56,6.0NRT,298.3,38.1,D,New South Wales
10,251,33472,33472,-32.668,150.927,moderate,1.9,1.3,2020-01-05,30,T,18,6.0NRT,300.5,28.4,D,New South Wales
11,3047,8638,8638,-31.789,152.613,low,1.4,1.2,2019-12-30,1445,A,58,6.0NRT,292.9,8.1,N,New South Wales
12,3163,26696,26696,-37.091,147.52,moderate,1.0,1.0,2020-01-04,400,A,73,6.0NRT,302.9,56.9,D,Victoria
13,4787,34415,5171,-24.405,129.088,very high,1.3,1.1,2019-12-30,525,A,100,6.0NRT,324.5,305.0,D,Northern Territory
14,3309,24957,24957,-34.303,149.981,high,1.4,1.2,2020-01-03,2345,T,83,6.0NRT,313.0,38.9,D,New South Wales
15,2606,12693,12693,-19.242,146.118,low,1.2,1.1,2019-12-31,1525,A,31,6.0NRT,294.9,6.8,N,Queensland
16,4729,31343,31343,-32.639,150.852,moderate,1.0,1.0,2020-01-04,1505,A,100,6.0NRT,307.7,210.8,N,New South Wales
17,302,30282,30282,-37.23,149.683,very low,2.2,1.4,2020-01-04,1325,T,93,6.0NRT,274.7,0.0,N,New South Wales
18,3720,18819,18819,-36.037,147.81,moderate,1.1,1.0,2020-01-02,415,A,95,6.0NRT,309.3,61.6,D,Victoria
19,3834,23771,23771,-35.999,149.569,low,1.1,1.0,2020-01-03,1245,T,21,6.0NRT,292.6,5.1,N,New South Wales
20,2174,5455,5455,-37.65,148.15,very high,1.1,1.0,2019-12-30,1310,T,100,6.0NRT,346.7,0.0,N,Victoria
21,4961,6042,6042,-37.449,148.249,moderate,1.1,1.0,2019-12-30,1310,T,100,6.0NRT,303.6,0.0,N,Victoria
22,1522,15250,15250,-37.614,148.778,very low,1.0,1.0,2020-01-01,1255,T,85,6.0NRT,285.4,14.1,N,Victoria
23,3555,21351,21351,-37.513,149.281,low,1.1,1.0,2020-01-02,1520,A,100,6.0NRT,291.8,58.4,N,Victoria
24,4871,5267,5267,-37.551,149.425,very low,1.2,1.1,2019-12-30,1310,T,100,6.0NRT,277.9,38.9,N,Victoria
25,4902,10370,10370,-32.618,150.777,high,1.1,1.0,2019-12-31,10,T,75,6.0NRT,310.8,22.5,D,New South Wales
26,4078,19123,19123,-33.965,142.201,very high,1.1,1.1,2020-01-02,415,A,100,6.0NRT,331.7,162.4,D,New South Wales
27,3126,23355,23355,-37.164,148.209,low,1.3,1.1,2020-01-03,1245,T,33,6.0NRT,292.3,13.1,N,Victoria
28,1479,22014,22014,-35.801,136.674,moderate,1.2,1.1,2020-01-03,40,T,97,6.0NRT,306.3,70.3,D,South Australia
29,4218,23907,23907,-35.877,148.129,low,1.2,1.1,2020-01-03,1245,T,75,6.0NRT,294.8,10.2,N,New South Wales
30,2180,6750,6750,-37.128,148.16,low,1.1,1.0,2019-12-30,1310,T,0,6.0NRT,296.5,19.2,N,Victoria
31,3464,16418,16418,-32.676,150.112,low,1.1,1.0,2020-01-01,1255,T,93,6.0NRT,293.6,14.2,N,New South Wales
32,75,2971,2971,-28.874,128.828,low,3.3,1.7,2019-12-29,1720,A,68,6.0NRT,295.7,121.1,N,Western Australia
33,3656,9801,9801,-37.334,148.54,low,1.8,1.3,2019-12-30,1445,A,0,6.0NRT,296.7,36.6,N,Victoria
34,630,30452,30452,-37.318,149.019,very low,2.0,1.4,2020-01-04,1325,T,99,6.0NRT,284.7,52.3,N,Victoria
35,1974,568,568,-32.071,121.621,high,1.0,1.0,2019-12-29,200,T,55,6.0NRT,319.7,14.3,D,Western Australia
36,2852,15969,15969,-36.292,147.757,low,1.0,1.0,2020-01-01,1255,T,100,6.0NRT,292.9,31.6,N,Victoria
37,803,1502,1502,-37.599,147.943,low,2.5,1.5,2019-12-29,1225,T,69,6.0NRT,296.5,24.7,N,Victoria
38,2272,3074,3074,-34.275,149.983,moderate,2.7,1.6,2019-12-29,2330,T,84,6.0NRT,302.7,132.4,D,New South Wales
39,732,21854,21854,-32.717,150.091,moderate,2.7,1.6,2020-01-03,40,T,62,6.0NRT,301.9,65.2,D,New South Wales
40,2379,25817,25817,-37.403,148.241,moderate,1.5,1.2,2020-01-03,2345,T,19,6.0NRT,306.7,16.9,D,Victoria
41,4395,16356,16356,-35.282,147.838,low,1.0,1.0,2020-01-01,1255,T,73,6.0NRT,293.4,8.7,N,New South Wales
42,1624,21868,21868,-35.407,147.969,high,2.1,1.4,2020-01-03,40,T,86,6.0NRT,311.1,77.2,D,New South Wales
43,13,24075,24075,-34.351,150.339,low,1.0,1.0,2020-01-03,1245,T,100,6.0NRT,295.4,24.0,N,New South Wales
44,4663,7343,7343,-36.149,147.712,low,1.1,1.0,2019-12-30,1310,T,63,6.0NRT,298.2,12.3,N,Victoria
45,2474,4389,4389,-31.603,152.13,high,1.0,1.0,2019-12-30,345,A,81,6.0NRT,312.4,37.8,D,New South Wales
46,3406,25260,25260,-35.802,148.048,high,1.7,1.3,2020-01-03,2345,T,80,6.0NRT,312.4,44.5,D,New South Wales
47,2431,30266,30266,-37.216,149.813,very low,2.3,1.5,2020-01-04,1325,T,100,6.0NRT,284.8,0.0,N,New South Wales
48,3351,17241,17241,-32.333,123.602,low,3.8,1.8,2020-01-01,1610,A,26,6.0NRT,293.0,27.0,N,Western Australia
49,4466,8021,8021,-34.347,150.372,low,1.5,1.2,2019-12-30,1310,T,100,6.0NRT,296.0,31.4,N,New South Wales
50,4774,9512,9512,-36.037,147.734,very low,2.1,1.4,2019-12-30,1445,A,80,6.0NRT,270.0,55.7,N,Victoria
51,4874,28047,28047,-35.957,149.669,very high,1.0,1.0,2020-01-04,400,A,100,6.0NRT,329.1,362.0,D,New South Wales
52,93,1614,1614,-34.885,150.298,very low,1.6,1.3,2019-12-29,1225,T,17,6.0NRT,287.8,11.9,N,New South Wales
53,352,10708,10708,-34.356,150.387,moderate,1.1,1.0,2019-12-31,10,T,95,6.0NRT,306.9,59.4,D,New South Wales
54,586,24580,24580,-35.846,148.681,very low,3.8,1.8,2020-01-03,1600,A,95,6.0NRT,289.4,108.9,N,New South Wales
55,50,32331,32331,-37.159,149.476,low,1.0,1.0,2020-01-04,1505,A,100,6.0NRT,291.1,0.0,N,New South Wales
56,375,32890,32890,-37.307,149.186,low,1.0,1.0,2020-01-04,1505,A,100,6.0NRT,290.3,29.6,N,Victoria
57,823,28166,28166,-35.821,150.003,very high,1.0,1.0,2020-01-04,400,A,100,6.0NRT,333.1,271.9,D,New South Wales
58,2476,394,394,-25.864,128.351,high,1.7,1.3,2019-12-29,200,T,79,6.0NRT,314.6,31.3,D,Western Australia
59,4252,3265,3265,-17.809,143.185,moderate,1.5,1.2,2019-12-30,100,T,40,6.0NRT,300.3,19.2,D,Queensland
60,3665,17480,17480,-35.774,148.036,moderate,1.2,1.1,2020-01-02,0,T,66,6.0NRT,300.4,14.6,D,New South Wales
61,686,23141,23141,-37.465,149.781,low,1.1,1.0,2020-01-03,1245,T,34,6.0NRT,293.8,9.9,N,Victoria
62,515,9208,9208,-36.041,149.878,moderate,1.6,1.2,2019-12-30,1445,A,100,6.0NRT,302.7,54.3,N,New South Wales
63,2884,9204,9204,-36.04,149.933,high,1.6,1.2,2019-12-30,1445,A,100,6.0NRT,319.3,656.1,N,New South Wales
64,2696,17235,17235,-32.278,123.448,low,3.9,1.8,2020-01-01,1610,A,69,6.0NRT,293.5,60.0,N,Western Australia
